gender,age,work_study_loc,edu,edu_other,discipline,discipline_other,occupation,occupation_other,formation,formation_other,years_experience,org_number,company_size,type_dj,type_dj_other,work_task,work_task_other,prog_lang,prog_lang_other,prog_frequency,prog_frequency_other,prog_experience,prog_edu,prog_edu_other,graphic_tools,tools,tools_other,skill_level_1,skill_level_2,skill_level_3,skill_level_4,skill_level_5,skill_level_6,skill_level_7,skill_training,skill_training_other,skill_upskill,skill_upskill_other,scope_org,scope_org_other,scope,scope_other,beat,beat_other,medium,medium_other,main_platform,main_platform_other,data_used,data_used_other,dedicated_unit,dedicated_unit_other,dedicated_unit_size,project_team_size,project_duration,project_duration_other,collaboration,collaboration_type,collaboration_type_other,challenges,challenges_other,access_local,quality_local,access_national,quality_national,data_journalism_value,data_journalism_value_other,barriers,barriers_other,data_j_value,data_j_value_other,osint_usage...73,osint_tasks,osint_tasks_other,osint_usage...76,osint_usage_other,osint_learning,osint_challenges,osint_ethics,ai_usage,ai_tech,ai_tech_other,ai_tasks,ai_tasks_other,ai_additional_info,ai_challenges,ai_challenges_other,five_years_time,fav_journalist,fav_project,field_improvement,training,training_other,skill_demand_training,skill_demand_training_other,retirement,retirement_other,pigs
Male,55-64,Greece,Doctoral degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Editor/ Team lead,NA,"Higher education (university degree, certificates)",NA,More than 10 years,More than two,10 to 49 employees,I write stories that are enriched and supported by data,NA,"Analyse data, Gather data",NA,NA,NA,NA,NA,NA,NA,NA,We use a balance of both,"Excel, Google Sheets, Python",NA,Intermediate,Advanced,Novice,Novice,Intermediate,Novice,Novice,"Data Analysis, Journalism",NA,"Machine Learning, Data Visualisation, Data Wrangling, Statistics",NA,International,NA,International,NA,"Education, Technology",NA,Online-only digital outlet,NA,NA,NA,Public official governmental data,NA,"No dedicated data unit, but regularly publish data driven projects",NA,NA,2-5,Several weeks,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of adequate knowledge in data visualisation, Lack of adequate software for data visualisation",NA,Poor,Average,Good,Average,"Discovering stories (detecting anomalies and deviations, establishing associations)",NA,"Lack of financial resources, Lack of time for training and deepening knowledge of specific skills",NA,"It makes a story more reliable, It enables data democratisation, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Female,55-64,Sweden,Bachelor's degree,NA,"Natural sciences (e.g. chemistry, medicine, biology), Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time employment at a news company/organisation,NA,"Formal education offline (bootcamps, professional courses and training events)",NA,3-5 years,One,I don't know,"I expose information that is hidden in the data, I write stories that explain the data",NA,"Analyse data, Clean data, Code/programme, Gather data",NA,"Python, Other (please specify)",Excel,Occasionally,NA,Less than 1 year,"Formal education offline (bootcamps, professional courses and training events)",NA,We use only external software,"Datawrapper, Excel, Google Sheets, Python",NA,Novice,Advanced,None,Novice,Novice,None,Novice,"Journalism, Scraping, Data Wrangling",NA,"Data Analysis, Machine Learning, Scraping, Data Visualisation, Data Wrangling, Statistics",NA,National,NA,"International, National, Local (city, municipality, region, state)",NA,"Agriculture, Crime / Courts, Energy, Environment, Government and Politics, Health, Investigative Reports, Opinion, Poverty and Development, Technology, Weather / Climate",NA,Print or broadcast media outlets with a digital site,NA,In both,NA,Public official governmental data,NA,Sometimes publishing data driven projects,NA,NA,"One, just me",A month or more,NA,No,NA,NA,"Time pressure, Lack of adequate software for scraping or analysis, Lack of financial resources",NA,Very Good,Very Good,Very Good,Very Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Finding the truth (verifying sources and content, or fact-checking)",NA,Lack of time for training and deepening knowledge of specific skills,NA,"It increases impartiality, It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable",NA,I’m not sure,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Online tutorials and forums,NA,NA,NA,NA,NA,NA,FALSE
Female,25-34,Romania,Master's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time employment at a news company/organisation,NA,"Formal education offline (bootcamps, professional courses and training events), Higher education (university degree, certificates)",NA,3-5 years,Two,50 to 99 employees,I write stories that are enriched and supported by data,NA,"Analyse data, Gather data",NA,NA,NA,NA,NA,NA,NA,NA,We use only in-house software,None of the items listed,NA,Novice,Intermediate,Intermediate,Novice,Novice,Novice,Novice,Journalism,NA,"Data Analysis, Journalism, Machine Learning, Scraping, Data Visualisation, Ethics, Data Wrangling, Statistics",NA,"National, Local (city, municipality, region, state)",NA,"National, Local (city, municipality, region, state)",NA,"Crime / Courts, Economy, Education, Energy, Entertainment, Environment, Government and Politics, Health, Opinion, Poverty and Development, Technology, Weather / Climate",NA,TV,NA,NA,NA,"Crowd-sourced data, Open access data from unofficial sources, Public official governmental data, Self-administered survey data, Social media data",NA,Not applicable,NA,NA,"One, just me",Around a day,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of adequate knowledge in data analysis, Lack of adequate software for scraping or analysis, Lack of adequate software for data visualisation",NA,Poor,Average,Poor,Average,"Discovering stories (detecting anomalies and deviations, establishing associations), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of time for training and deepening knowledge of specific skills, Lack of expert educators",NA,"It increases impartiality, It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Male,25-34,Germany,Professional degree / Technical institute,NA,"Arts and Humanities (e.g. journalism, linguistics, history), Business, Finance, or Law",NA,Other (Please specify),I am a freelancer and from time to time I use data journalism,"Self-taught using offline resources (books, physical media), Self-taught using online resources (videos, blogs, forums), Workplace training (upskill sessions, bootcamps)",NA,3-5 years,More than two,I don't know,I expose information that is hidden in the data,NA,"Analyse data, Design web pages, Gather data, Produce data visualisations",NA,NA,NA,NA,NA,NA,NA,NA,We use a balance of both,"Datawrapper, Excel",NA,Novice,Advanced,Novice,None,Intermediate,Intermediate,Intermediate,"Data Analysis, Journalism, Machine Learning, Ethics",NA,"Data Analysis, Data Visualisation, Data Wrangling",NA,National,NA,"International, National",NA,"Business and Commerce, Crime / Courts, Entertainment, Government and Politics, Health, Investigative Reports, Poverty and Development",NA,"Online-only digital outlet, Personal blog, Social media",NA,NA,NA,"Census data, Open access data from unofficial sources, Public official governmental data, Self-administered survey data, Social media data",NA,"No dedicated data unit, but regularly publish data driven projects",NA,NA,Not applicable,Not applicable,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of financial resources, The audience benefit is smaller than the time or money spent, Lack of interest from consumers",NA,Good,Good,Good,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Detecting and monitoring events (e.g., on social media or news media), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of on-field practice",NA,"It increases impartiality, It makes a story more reliable, It is necessary given the increase of data, It enables data democratisation, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,"Machine Learning, Speech-to-text and text-to-speech applications, Generative AI tools (e.g., Bard, ChatGPT, DALL-E, Midjourney)",NA,"Searching content, Image and video analysis, Data cleaning / processing",NA,NA,"Limited understanding of the tool / technology, Dedicated time to experiment with it, Financial constraints",NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Female,25-34,Germany,Master's degree,NA,"Formal sciences (e.g. computer science, mathematics, statistics), Arts and Humanities (e.g. journalism, linguistics, history), Business, Finance, or Law",NA,Full-time employment at a news company/organisation,NA,None of the items listed,NA,Under 1 year,One,500+,"I write stories that are enriched and supported by data, I write stories that explain the data",NA,"Analyse data, Gather data, Produce data visualisations",NA,NA,NA,NA,NA,NA,NA,NA,We use only external software,"Datawrapper, Excel",NA,Novice,Intermediate,Novice,None,Novice,None,Novice,"Journalism, Data Visualisation",NA,"Data Analysis, Machine Learning, Scraping, Data Visualisation, Ethics, Data Wrangling",NA,"International, National",NA,"International, National",NA,"Agriculture, Economy, Education, Environment, Government and Politics, Health, Weather / Climate",NA,Social media,NA,NA,NA,"Census data, Open access data from unofficial sources, Public official governmental data, Social media data",NA,Dedicated data unit/blog/section/desk/team,NA,3-5,2-5,Not applicable,NA,No,NA,NA,None of the items listed,NA,Average,Average,Average,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Detecting and monitoring events (e.g., on social media or news media), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of time for training and deepening knowledge of specific skills, Lack of on-field practice, Lack of internship opportunities/struggle to enter industry, Lack of expert educators",NA,"It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable, It is necessary given the increase of data",NA,Yes,"Navigate maps, satellites, and location-based information, Fact-check, debunk misinformation, fake news, and biassed media reports, Verify sources, images, and/or videos, Navigate and extract information from social media",NA,Internet media from citizens and social media,NA,"Knowledge exchange with colleagues, papers, professional networks and conferences","Lacking interest and understanding from management, knowledge exchange and time for continuous training","usage according to national law, seeling of identities (names, faces etc.) of individuals in sensitive contexts e.g. israeli hostages in gaza",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Female,25-34,Belgium,Master's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Other (Please specify),I use data from time to time in my job as editor,"Self-taught using online resources (videos, blogs, forums)",NA,1-2 years,One,2 to 9 employees,I write stories that are enriched and supported by data,NA,"Analyse data, Clean data, Gather data, Produce data visualisations",NA,NA,NA,NA,NA,NA,NA,NA,We use only external software,"Datawrapper, Excel, Flourish, Google Sheets",NA,Novice,Advanced,None,Novice,Intermediate,Novice,None,"Journalism, Data Visualisation",NA,"Data Analysis, Scraping, Data Wrangling, Statistics",NA,International,NA,International,NA,"Agriculture, Economy, Energy, Environment, Government and Politics, Investigative Reports, Technology",NA,Online-only digital outlet,NA,NA,NA,"FOI obtained data, Open access data from unofficial sources, Public official governmental data, Scraped data",NA,Sometimes publishing data driven projects,NA,NA,"One, just me",Several weeks,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of adequate software for scraping or analysis, Lack of adequate software for data visualisation",NA,Average,Good,Good,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Detecting and monitoring events (e.g., on social media or news media)",NA,"Lack of time for training and deepening knowledge of specific skills, Lack of internship opportunities/struggle to enter industry",NA,"It helps with finding important stories, It makes a story more reliable, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,https://www.elconfidencial.com/mundo/2023-11-29/europa-muros-migratorios_3783210/,NA,NA,NA,NA,NA,NA,NA,FALSE
Female,25-34,Romania,Bachelor's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time employment at a news company/organisation,NA,"Self-taught using online resources (videos, blogs, forums), Workplace training (upskill sessions, bootcamps)",NA,1-2 years,One,500+,"I write stories that are enriched and supported by data, I write stories that explain the data",NA,"Analyse data, Other (please specify)","write press releases or local news pitches based on data, I explain data",NA,NA,NA,NA,NA,NA,NA,Mostly external software but some in-house,"Datawrapper, Excel, Flourish, Google Sheets, Tableau",NA,Novice,Novice,None,None,Novice,None,Novice,"Data Analysis, Journalism",NA,"Data Analysis, Journalism, Data Visualisation, Ethics, Statistics",NA,International,NA,International,NA,"Business and Commerce, Economy, Lifestyle, Other (please specify)",Real Estate,"Print or broadcast media outlets with a digital site, Online-only digital outlet, Radio, Social media, TV",NA,In the online site,NA,"Census data, Self-administered survey data",NA,Dedicated data unit/blog/section/desk/team,NA,11-15,2-5,A month or more,NA,No,NA,NA,"Lack of adequate knowledge in data visualisation, Using data ethically, Ensuring data reliability",NA,Good,Good,Good,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Detecting and monitoring events (e.g., on social media or news media)",NA,Lack of financial resources,NA,"It increases impartiality, It makes a story more reliable, It enables data democratisation",NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,"Generative AI tools (e.g., Bard, ChatGPT, DALL-E, Midjourney)",NA,Content generation,NA,NA,"Dedicated time to experiment with it, Concerns about bias and ethics of AI models",NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Female,25-34,Germany,Bachelor's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time employment at a news company/organisation,NA,"Formal education online (online courses, certifications), Formal education offline (bootcamps, professional courses and training events), Higher education (university degree, certificates), Self-taught using online resources (videos, blogs, forums)",NA,3-5 years,One,500+,"I write stories that are enriched and supported by data, I expose information that is hidden in the data",NA,"Analyse data, Clean data, Code/programme",NA,"Python, R",NA,Occasionally,NA,3-5 years,"Formal education online (online courses, certifications), Formal education offline (bootcamps, professional courses and training events), Self-taught using online resources (videos, blogs, forums)",NA,We use a balance of both,"Datawrapper, R",NA,Intermediate,Advanced,None,Novice,Novice,Novice,None,"Journalism, Scraping",NA,"Machine Learning, Ethics",NA,National,NA,National,NA,"Investigative Reports, Technology",NA,Print or broadcast media outlets with a digital site,NA,In both,NA,"Open access data from unofficial sources, Scraped data, Social media data",NA,Dedicated data unit/blog/section/desk/team,NA,6-10,2-5,A month or more,NA,Yes,"One-time project and separate content production, Ongoing project and separate content production",NA,"Access to quality data, Time pressure, Lack of adequate knowledge in data analysis, The audience benefit is smaller than the time or money spent",NA,Poor,Average,Poor,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of time for training and deepening knowledge of specific skills, Lack of on-field practice, Lack of internship opportunities/struggle to enter industry",NA,"It helps with finding unique stories, It makes a story more reliable, It is necessary given the increase of data, It enables data democratisation",NA,Yes,"Navigate maps, satellites, and location-based information, Fact-check, debunk misinformation, fake news, and biassed media reports, Verify sources, images, and/or videos, Navigate and extract information from social media",NA,"News media, Internet media from citizens and social media, Public government data and reports, Commercial data, imagery, and databases",NA,"Newsletters, Twitter, reading articles, chatting with others, conferences",NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Male,55-64,Romania,Master's degree,NA,"Social sciences (e.g. psychology, sociology, political science)",NA,Full-time freelancer,NA,"Self-taught using online resources (videos, blogs, forums)",NA,3-5 years,Two,"Just me - I am a freelancer, sole proprietor, etc.",I write stories that explain the data,NA,Produce data visualisations,NA,NA,NA,NA,NA,NA,NA,NA,We use only external software,"Excel, Flourish",NA,Novice,Advanced,Novice,None,Novice,None,Novice,Journalism,NA,"Data Analysis, Scraping, Data Visualisation, Ethics",NA,International,NA,International,NA,"Economy, Energy, Government and Politics, Investigative Reports",NA,Online-only digital outlet,NA,NA,NA,"FOI obtained data, Open access data from unofficial sources, Public official governmental data",NA,"No dedicated data unit, but regularly publish data driven projects",NA,NA,"One, just me",A month or more,NA,Yes,One-time project and separate content production,NA,"Lack of adequate knowledge in data analysis, Lack of adequate knowledge in data visualisation, Lack of financial resources, Lack of interest from consumers",NA,Average,Average,Average,Average,"Detecting and monitoring events (e.g., on social media or news media)",NA,"Lack of time for training and deepening knowledge of specific skills, Lack of on-field practice",NA,"It increases impartiality, It makes a story more reliable",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Female,35-44,Latvia,Master's degree,NA,"Social sciences (e.g. psychology, sociology, political science), Arts and Humanities (e.g. journalism, linguistics, history)",NA,Editor/ Team lead,NA,"Self-taught using online resources (videos, blogs, forums), Workplace training (upskill sessions, bootcamps)",NA,3-5 years,One,10 to 49 employees,"I write stories that explain the data, None of the above",NA,"Analyse data, Design web pages, Gather data, Produce data visualisations",NA,NA,NA,NA,NA,NA,NA,NA,We use only external software,"Excel, Flourish, Google Sheets, Tableau",NA,Novice,Advanced,None,Novice,Novice,None,Novice,"Ethics, Data Wrangling, Statistics",NA,"Machine Learning, Data Visualisation",NA,"International, National",NA,"International, National, Local (city, municipality, region, state)",NA,Other (please specify),NA,Print or broadcast media outlets with a digital site,NA,In the online site,NA,"Census data, Public official governmental data, Social media data",NA,Sometimes publishing data driven projects,NA,NA,Not applicable,Less than a week,NA,Yes,One-time project and co-creation of content,NA,"Lack of adequate knowledge in data analysis, Lack of financial resources, Ensuring data reliability",NA,Good,Good,Good,Very Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Detecting and monitoring events (e.g., on social media or news media), Finding the truth (verifying sources and content, or fact-checking)",NA,Lack of expert educators,NA,"It helps with finding unique stories, It makes a story more reliable, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,Aleksandrs Krasnitskis of rus.lsm.lv . He would always come across the most interesting corrolations.,NA,data interpretation side,NA,NA,NA,NA,NA,NA,FALSE
Female,25-34,Romania,Master's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time employment at a news company/organisation,NA,"Formal education online (online courses, certifications), Higher education (university degree, certificates)",NA,Under 1 year,One,500+,I write stories that explain the data,NA,Analyse data,NA,NA,NA,NA,NA,NA,NA,NA,We use only external software,"Datawrapper, Excel",NA,Novice,Intermediate,Novice,None,None,None,None,Data Analysis,NA,Machine Learning,NA,National,NA,National,NA,Other (please specify),Real Estate,Print or broadcast media outlets with a digital site,NA,In the online site,NA,Census data,NA,"No dedicated data unit, but regularly publish data driven projects",NA,NA,2-5,Less than a week,NA,No,NA,NA,"Access to quality data, Time pressure, Using data ethically",NA,Good,Good,Good,Good,"Making predictions (e.g., political or weather forecasting)",NA,"Lack of time for training and deepening knowledge of specific skills, Lack of expert educators",NA,"It helps with finding unique stories, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,"Generative AI tools (e.g., Bard, ChatGPT, DALL-E, Midjourney)",NA,"Searching content, Other (please specify)",Paraphrasing,NA,Limited understanding of the tool / technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Female,55-64,France,Bachelor's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Part-time freelancer,NA,None of the items listed,NA,Not applicable,Not applicable,"Just me - I am a freelancer, sole proprietor, etc.","I write stories that are enriched and supported by data, I write stories that explain the data",NA,Analyse data,NA,NA,NA,NA,NA,NA,NA,NA,Not applicable,None of the items listed,NA,Novice,Advanced,None,None,Novice,None,None,None,NA,"Data Analysis, Machine Learning, Data Visualisation",NA,International,NA,International,NA,"Environment, Government and Politics, Poverty and Development, Weather / Climate",NA,Other (please specify),Non-profit s,NA,NA,"Open access data from unofficial sources, Public official governmental data",NA,Not applicable,NA,NA,"One, just me",A month or more,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of adequate knowledge in data analysis, Lack of adequate knowledge in data visualisation, The audience benefit is smaller than the time or money spent",NA,Average,Average,Average,Average,"Discovering stories (detecting anomalies and deviations, establishing associations), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of time for training and deepening knowledge of specific skills, Lack of expert educators",NA,"It increases impartiality, It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable, It enables data democratisation, It helps readers make sense of what they are reading",NA,I’m not sure,"Navigate maps, satellites, and location-based information, Verify sources, images, and/or videos",NA,"News media, Public government data and reports, Professional and academic publications",NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Male,25-34,Germany,Bachelor's degree,NA,"Social sciences (e.g. psychology, sociology, political science), Arts and Humanities (e.g. journalism, linguistics, history)",NA,Part-time freelancer,NA,"Workplace training (upskill sessions, bootcamps)",NA,3-5 years,More than two,10 to 49 employees,"I write stories that are enriched and supported by data, I expose information that is hidden in the data, I write stories that explain the data",NA,"Analyse data, Gather data, Produce data visualisations",NA,NA,NA,NA,NA,NA,NA,NA,We use only external software,"Excel, Google Sheets",NA,Intermediate,Advanced,Novice,None,Advanced,Novice,Intermediate,Ethics,NA,"Data Analysis, Machine Learning, Data Visualisation, Ethics, Data Wrangling",NA,International,NA,International,NA,"Economy, Environment, Government and Politics, Opinion, Poverty and Development, Weather / Climate",NA,"Print or broadcast media outlets with a digital site, Online-only digital outlet, Radio",NA,In the online site,NA,Public official governmental data,NA,"No dedicated data unit, but regularly publish data driven projects",NA,NA,"One, just me",A month or more,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of adequate knowledge in data analysis, Lack of adequate software for scraping or analysis, Using data ethically",NA,Good,Good,Good,Average,"Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of time for training and deepening knowledge of specific skills",NA,"It increases impartiality, It helps with finding important stories, It makes a story more reliable",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Female,45-54,Portugal,Master's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time employment at a news company/organisation,NA,"Formal education online (online courses, certifications), Self-taught using online resources (videos, blogs, forums), Workplace training (upskill sessions, bootcamps)",NA,6-10 years,One,100 to 499 employees,Other (please specify),I tell visual stories that are enriched with maps and graphics that are supported by data,"Analyse data, Clean data, Code/programme, Gather data, Produce data visualisations",NA,"HTML/CSS, Other (please specify)",Datawrapper and Flourish,Every other day,NA,3-5 years,"Formal education online (online courses, certifications), Workplace training (upskill sessions, bootcamps)",NA,We use only external software,"Datawrapper, Excel, Flourish, Google Sheets",NA,Intermediate,Intermediate,Novice,None,Advanced,Intermediate,Intermediate,"Data Analysis, Journalism, Data Visualisation",NA,"Machine Learning, Data Wrangling, Statistics",NA,"International, National",NA,"International, National",NA,"Economy, Education, Energy, Entertainment, Environment, Government and Politics, Health, Investigative Reports, Poverty and Development, Technology, Weather / Climate",NA,Print or broadcast media outlets with a digital site,NA,In both,NA,"Census data, Public official governmental data",NA,"No dedicated data unit, but regularly publish data driven projects",NA,NA,2-5,Less than a week,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of financial resources",NA,Average,Very Good,Good,Very Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of time for training and deepening knowledge of specific skills, Lack of expert educators",NA,"It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable, It is necessary given the increase of data, It enables data democratisation, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,Raquel Albuquerque for all the greatest data stories she published,"Baixa de Lisboa: liquidação total
https://multimedia.expresso.pt/baixadelisboa/",NA,NA,NA,NA,NA,NA,NA,TRUE
Male,35-44,Latvia,Bachelor's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time employment at a news company/organisation,NA,"Self-taught using offline resources (books, physical media), Self-taught using online resources (videos, blogs, forums), Workplace training (upskill sessions, bootcamps)",NA,6-10 years,More than two,2 to 9 employees,I write stories that are enriched and supported by data,NA,"Analyse data, Clean data, Gather data, Produce data visualisations",NA,NA,NA,NA,NA,NA,NA,NA,Mostly external software but some in-house,None of the items listed,NA,Novice,Advanced,Novice,Novice,Novice,Novice,Intermediate,Journalism,NA,"Data Analysis, Machine Learning",NA,National,NA,International,NA,"Agriculture, Business and Commerce, Crime / Courts, Economy, Education, Energy, Entertainment, Environment, Government and Politics, Health, Investigative Reports, Sports",NA,TV,NA,NA,NA,"Crowd-sourced data, Open access data from unofficial sources, Public official governmental data, Social media data",NA,Sometimes publishing data driven projects,NA,NA,6-9,Less than a week,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of adequate software for scraping or analysis, Lack of adequate software for data visualisation, Lack of financial resources, The audience benefit is smaller than the time or money spent",NA,Average,Average,Average,Average,"Discovering stories (detecting anomalies and deviations, establishing associations), Detecting and monitoring events (e.g., on social media or news media), Making predictions (e.g., political or weather forecasting)",NA,"Lack of financial resources, Lack of time for training and deepening knowledge of specific skills, Lack of on-field practice",NA,"It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable",NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,"Generative AI tools (e.g., Bard, ChatGPT, DALL-E, Midjourney)",NA,"Searching content, Image and video analysis",NA,NA,"Access to training, Dedicated time to experiment with it",NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Prefer not to answer,55-64,Germany,Master's degree,NA,"Social sciences (e.g. psychology, sociology, political science)",NA,Full-time freelancer,NA,"Formal education offline (bootcamps, professional courses and training events)",NA,3-5 years,Not applicable,"Just me - I am a freelancer, sole proprietor, etc.","I write stories that are enriched and supported by data, I expose information that is hidden in the data, I write stories that explain the data",NA,"Analyse data, Gather data, Produce data visualisations",NA,NA,NA,NA,NA,NA,NA,NA,We use only external software,"Datawrapper, Excel, Google Sheets",NA,Intermediate,Advanced,Novice,Novice,Novice,Novice,Intermediate,"Data Analysis, Scraping, Statistics",NA,"Machine Learning, Data Wrangling",NA,National,NA,National,NA,"Agriculture, Business and Commerce, Economy, Education, Energy, Environment, Technology",NA,"Online-only digital outlet, Radio, TV",NA,NA,NA,"Open access data from unofficial sources, Public official governmental data, Scraped data",NA,Not applicable,NA,NA,2-5,Several weeks,NA,Yes,Ongoing project and separate content production,NA,"Time pressure, Lack of adequate knowledge in data visualisation, Lack of adequate software for scraping or analysis",NA,Good,Good,Good,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Detecting and monitoring events (e.g., on social media or news media), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of on-field practice, Lack of internship opportunities/struggle to enter industry",NA,"It increases impartiality, It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable, It enables data democratisation",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Female,45-54,Romania,Master's degree,NA,"Social sciences (e.g. psychology, sociology, political science)",NA,Full-time employment at a news company/organisation,NA,"Formal education offline (bootcamps, professional courses and training events)",NA,More than 10 years,One,500+,I write stories that are enriched and supported by data,NA,Analyse data,NA,NA,NA,NA,NA,NA,NA,NA,Mostly external software but some in-house,Google Sheets,NA,Novice,NA,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,"Data Analysis, Journalism, Data Visualisation",NA,"Data Visualisation, Ethics, Data Wrangling, Statistics",NA,National,NA,National,NA,"Agriculture, Business and Commerce, Economy, Education, Environment, Health, Lifestyle, Poverty and Development",NA,"Radio, Social media",NA,NA,NA,"Census data, Open access data from unofficial sources, Public official governmental data, Self-administered survey data",NA,"No dedicated data unit, but regularly publish data driven projects",NA,NA,2-5,Less than a week,NA,No,NA,NA,"Access to quality data, Lack of adequate software for data visualisation",NA,Average,Average,Average,Average,"Discovering stories (detecting anomalies and deviations, establishing associations), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of internship opportunities/struggle to enter industry, Lack of expert educators",NA,"It increases impartiality, It enables data democratisation",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,Elections,Climatic changes,I don't know,NA,NA,NA,NA,NA,NA,FALSE
